iter	RMSE
0	8.144583753
1	8.143159367
2	8.141748912
3	8.140326296
4	8.138911353
5	8.137479249
6	8.136027726
7	8.134637931
8	8.133191619
9	8.131751436
10	8.130331793
11	8.128902844
12	8.127473514
13	8.126074885
14	8.124667704
15	8.123233863
16	8.121792763
17	8.120358082
18	8.118937656
19	8.117498314
20	8.116061657
21	8.114631558
22	8.113191304
23	8.111751926
24	8.110329285
25	8.108913438
26	8.107498891
27	8.10607608
28	8.10464562
29	8.103222084
30	8.101799231
31	8.100368289
32	8.098945467
33	8.097538743
34	8.096115357
35	8.094721052
36	8.093308826
37	8.091873159
38	8.090469249
39	8.089059045
40	8.087640469
41	8.086220583
42	8.084812282
43	8.083398527
44	8.082004587
45	8.080605258
46	8.079212134
47	8.077806697
48	8.076390578
49	8.074985206
50	8.073566671
51	8.072154192
52	8.070733203
53	8.069324446
54	8.06793452
55	8.066554903
56	8.065173319
57	8.063774402
58	8.062356886
59	8.060971902
60	8.05955489
61	8.058141981
62	8.05673784
63	8.055384597
64	8.0539917
65	8.052613333
66	8.051213745
67	8.049815447
68	8.04840938
69	8.047005516
70	8.045602739
71	8.044181022
72	8.042780294
73	8.041376392
74	8.039990186
75	8.03857266
76	8.037192348
77	8.035804283
78	8.034416607
79	8.033028461
80	8.03162252
81	8.030226228
82	8.028820199
83	8.027399724
84	8.026011388
85	8.024611992
86	8.023220634
87	8.021830173
88	8.020443894
89	8.01904975
90	8.017656808
91	8.016243815
92	8.014866677
93	8.013480134
94	8.012083253
95	8.010697791
96	8.00928542
97	8.007907877
98	8.006530059
99	8.005169957
100	8.003783983
101	8.002409198
102	8.001015758
103	7.999617068
104	7.998225492
105	7.99685563
106	7.995469519
107	7.994091311
108	7.992700209
109	7.991310755
110	7.989958321
111	7.988582834
112	7.987197266
113	7.985812037
114	7.984446369
115	7.983105596
116	7.981720901
117	7.980346517
118	7.978953035
119	7.977564392
120	7.976191235
121	7.974803716
122	7.973438677
123	7.972066032
124	7.970682307
125	7.969306159
126	7.967925317
127	7.966532748
128	7.965152863
129	7.963776079
130	7.962382399
131	7.96101016
132	7.959635548
133	7.958273863
134	7.956917305
135	7.955534917
136	7.954185304
137	7.952806899
138	7.951454432
139	7.950089509
140	7.948730499
141	7.947357667
142	7.946001354
143	7.944638491
144	7.943262019
145	7.941898351
146	7.940525287
147	7.93915686
148	7.937775986
149	7.936395885
150	7.935025396
151	7.933652494
152	7.932270496
153	7.930895313
154	7.929524851
155	7.928152836
156	7.92678695
157	7.925425312
158	7.924061177
159	7.922724475
160	7.921365943
161	7.920005814
162	7.918646274
163	7.917289921
164	7.915927876
165	7.914562049
166	7.913198065
167	7.911827561
168	7.910508879
169	7.909143556
170	7.907798638
171	7.906445329
172	7.905068415
173	7.903684867
174	7.902320314
175	7.900968813
176	7.899606849
177	7.898257943
178	7.896918627
179	7.895575647
180	7.894208349
181	7.89284638
182	7.891492428
183	7.890152911
184	7.888796218
185	7.887462362
186	7.886110942
187	7.884770426
188	7.883426583
189	7.8820858
190	7.880727808
191	7.879395587
192	7.878034445
193	7.876697497
194	7.87535011
195	7.874013298
196	7.872668343
197	7.871339707
198	7.870010275
199	7.868689606
200	7.867354137
201	7.866022533
202	7.864707024
203	7.863368139
204	7.862013951
205	7.860664997
206	7.859327752
207	7.857975323
208	7.856630037
209	7.855296699
210	7.853958436
211	7.85262976
212	7.851322379
213	7.849986865
214	7.848650644
215	7.847314013
216	7.845988015
217	7.844661413
218	7.843327261
219	7.842002665
220	7.840662502
221	7.83934822
222	7.838018744
223	7.836707457
224	7.835372941
225	7.834037225
226	7.832685038
227	7.831363565
228	7.830043442
229	7.8286949
230	7.827378848
231	7.826059073
232	7.824733198
233	7.823405623
234	7.822065314
235	7.820739083
236	7.819380735
237	7.818061332
238	7.816722313
239	7.815431015
240	7.814108638
241	7.812773908
242	7.811441912
243	7.810093693
