iter	Passed	Remaining
0	627	2778339
1	1139	2523535
2	1629	2405413
3	2108	2334290
4	2635	2333268
5	3173	2340644
6	3774	2386203
7	4560	2521943
8	5255	2582695
9	5870	2595925
10	6424	2581996
11	7013	2583224
12	7664	2605359
13	8296	2618181
14	8860	2609257
15	9383	2589759
16	9928	2578537
17	10477	2569231
18	11007	2556678
19	11518	2540891
20	12058	2532862
21	12586	2523063
22	13074	2506347
23	13602	2498262
24	14073	2480837
25	14616	2476878
26	15127	2467988
27	15654	2462192
28	16153	2452621
29	16703	2450929
30	17230	2446155
31	17733	2438371
32	18239	2431335
33	18754	2425900
34	19311	2426113
35	19801	2417933
36	20413	2424738
37	20896	2416325
38	21402	2410850
39	21892	2403803
40	22353	2393971
41	22808	2384001
42	23338	2382106
43	23916	2385161
44	24430	2381704
45	24878	2372149
46	25442	2373714
47	25955	2370565
48	26491	2369624
49	26978	2364374
50	27469	2359694
51	27936	2353071
52	28498	2354632
53	28973	2348987
54	29464	2344847
55	29968	2341839
56	30457	2337713
57	31040	2340873
58	31557	2338998
59	32001	2331858
60	32470	2326683
61	32931	2321159
62	33450	2319734
63	33952	2317262
64	34484	2316853
65	34949	2311978
66	35429	2308225
67	36048	2313487
68	36529	2309805
69	37090	2311264
70	37579	2308221
71	38116	2308188
72	38643	2307470
73	39161	2306300
74	39682	2305263
75	40184	2303214
76	40667	2300069
77	41156	2297351
78	41639	2294409
79	42139	2292415
80	42637	2290334
81	43191	2291247
82	43696	2289587
83	44173	2286501
84	44617	2281771
85	45098	2279032
86	45614	2278103
87	46123	2276840
88	46580	2273011
89	47119	2273245
90	47585	2269968
91	48126	2270328
92	48614	2268160
93	49120	2266863
94	49596	2264205
95	50084	2262147
96	50625	2262482
97	51129	2261155
98	51709	2263189
99	52277	2264675
100	52922	2269383
101	53421	2267802
102	53992	2269273
103	54464	2266577
104	55009	2266927
105	55504	2265227
106	56010	2263962
107	56475	2261095
108	57033	2261996
109	57547	2261078
110	58107	2261987
111	58624	2261247
112	59155	2261005
113	59711	2261720
114	60260	2262127
115	60761	2260729
116	61510	2268526
117	62056	2268747
118	62670	2271397
119	63240	2272433
120	63780	2272382
121	64307	2271852
122	64788	2269694
123	65365	2270930
124	65916	2271210
125	66414	2269676
126	66991	2270855
127	67601	2273117
128	68233	2276047
129	68750	2275106
130	69329	2276224
131	69887	2276634
132	70390	2275242
133	70953	2275801
134	71510	2276145
135	72052	2276023
136	72698	2279121
137	73351	2282386
138	74023	2286205
139	74580	2286429
140	75200	2288544
141	75761	2288856
142	76330	2289391
143	76878	2289265
144	77467	2290361
145	78068	2291781
146	78700	2294091
147	79486	2300817
148	80045	2300907
149	80561	2299750
150	81083	2298795
151	81669	2299638
152	82258	2300544
153	82788	2299804
154	83290	2298287
155	83860	2298638
156	84432	2299032
157	84913	2296953
158	85407	2295265
159	85912	2293857
160	86405	2292169
161	87021	2293722
162	87510	2291906
163	88055	2291581
164	88567	2290421
165	89086	2289416
166	89575	2287659
167	90120	2287351
168	90604	2285486
169	91163	2285523
170	91711	2285282
171	92192	2283363
172	92738	2283088
173	93269	2282425
174	93802	2281804
175	94304	2280446
176	94828	2279641
177	95392	2279763
178	95913	2278891
179	96375	2276607
180	96861	2274910
181	97465	2275977
182	97970	2274729
183	98495	2273956
184	99000	2272729
185	99485	2271052
186	100111	2272576
187	100638	2271858
188	101171	2271283
189	101651	2269496
190	102171	2268626
191	102687	2267678
192	103189	2266436
193	103699	2265360
194	104235	2264857
195	104704	2262891
196	105271	2263066
197	105770	2261783
198	106229	2259635
199	106704	2257867
200	107198	2256508
201	107682	2254939
202	108196	2253999
203	108760	2254121
204	109270	2253099
205	109775	2251991
206	110284	2250969
207	110843	2250982
208	111325	2249419
209	111838	2248480
210	112389	2248316
211	113003	2249414
212	113625	2250634
213	114196	2250836
214	114688	2249492
215	115276	2250025
216	115883	2250911
217	116314	2248390
218	116848	2247874
219	117366	2247030
220	117835	2245277
221	118333	2244080
222	118877	2243739
223	119371	2242484
224	119899	2241857
225	120408	2240876
226	120951	2240527
227	121464	2239633
228	121994	2239055
229	122549	2238924
230	123053	2237861
231	123574	2237124
232	124083	2236159
